seed,gate_mode,matched_constant_gate,mean_accuracy,accuracy_stddev_across_folds,balanced_accuracy,mean_firing_rate_hz,mean_gate,mean_effective_gate,mean_effective_gate_variance,mean_effective_gate_entropy_bits,mean_spikes_per_sample,spikes_per_correct_decision,mean_assembly_separation,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1
11,kernel,0.1283111212878475,0.9375,0.0625,0.9375,2.799479166666667,0.8697559308214102,0.1283111212878475,0.0,0.0,5.375,5.733333333333333,3.252888557668305,15,1,1,15
11,constant,0.1283111212878475,0.9375,0.0625,0.9375,2.799479166666667,0.1283111212878475,0.1283111212878475,0.0,0.0,5.375,5.733333333333333,3.252888557668305,15,1,1,15
11,disabled,0.1283111212878475,0.9375,0.0625,0.9375,6.396484375,1.0,1.0,0.0,0.0,12.28125,13.1,2.16977264522726,15,1,1,15
11,sign,0.1283111212878475,0.9375,0.0625,0.9375,2.734375,0.8826822916666667,0.1,4.2129717533470784e-35,0.0,5.25,5.6,3.2275426928956703,15,1,1,15
11,tanh,0.1283111212878475,0.9375,0.0625,0.9375,2.63671875,0.9160941376156971,0.06496916912866407,0.0,0.0,5.0625,5.4,3.199560874563236,15,1,1,15
11,random,0.1283111212878475,0.9375,0.0625,0.9375,2.880859375,0.1784289967012752,0.1703671876994789,0.01449133224029842,0.9225958025943461,5.53125,5.9,3.2723266211916995,15,1,1,15
23,kernel,0.1283111212878475,1.0,0.0,1.0,2.8157552083333335,0.8700279644104407,0.1283111212878475,0.0,0.0,5.40625,5.40625,3.716671069089797,16,0,0,16
23,constant,0.1283111212878475,1.0,0.0,1.0,2.8157552083333335,0.1283111212878475,0.1283111212878475,0.0,0.0,5.40625,5.40625,3.716671069089797,16,0,0,16
23,disabled,0.1283111212878475,0.875,0.125,0.875,6.73828125,1.0,1.0,0.0,0.0,12.9375,14.785714285714286,2.853244280326594,14,2,2,14
23,sign,0.1283111212878475,1.0,0.0,1.0,2.8157552083333335,0.8825911458333333,0.1,6.018531076210112e-35,0.0,5.40625,5.40625,3.7339226985943506,16,0,0,16
