seed,variant,gate_timing,gate_mode,gate_perturbation,steps,neuron_count,total_spikes,mean_firing_rate_hz,normalized_voltage_energy,mean_gate,gate_variance,population_spike_count_fano,mean_pairwise_spike_correlation,pairwise_correlation_pairs,binned_coincidence_rate,active_fraction,globally_computed_gate_mean,globally_computed_gate_variance,effective_gate_count,effective_gate_mean,effective_gate_variance,effective_gate_minimum,effective_gate_maximum,finite,voltage_rmse_vs_timing_reference,spike_disagreement_vs_timing_reference
11,reset_kernel,reset_locked,kernel,none,420,24,168,16.666666666666668,0.6138901802760401,0.8117969062883376,0.05266405564614616,4.8976190353749995,0.17307084956311192,276,0.9107142857142857,1.0,0.8117969062883376,0.05266405564614616,168,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,0.0,0
11,reset_global_constant,reset_locked,constant,none,420,24,246,24.404761904761905,0.5099538886955562,0.8117969062883376,0.0,1.4468060370188096,0.024045193123161668,276,0.491869918699187,1.0,0.8117969062883376,0.0,246,0.8117969062883374,1.232595164407831e-32,0.8117969062883376,0.8117969062883376,True,7.776360385727884,382
11,reset_event_constant,reset_locked,constant,none,420,24,168,16.666666666666668,0.6138901802760401,0.1283111212878475,0.0,4.8976190353749995,0.17307084956311192,276,0.9107142857142857,1.0,0.1283111212878475,0.0,168,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,0.0,0
11,reset_distribution_random,reset_locked,random,none,420,24,168,16.666666666666668,0.6138901802760401,0.1283111212878475,0.0,4.8976190353749995,0.17307084956311192,276,0.9107142857142857,1.0,0.1283111212878475,0.0,168,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,0.0,0
11,reset_time_shifted,reset_locked,kernel,time_shifted,420,24,256,25.396825396825395,0.501898500399802,0.7704612686646519,0.0762317777151983,1.3904761881949403,0.01984376213544776,276,0.5078125,1.0,0.7699712972926567,0.07625825700448405,256,0.889340493655377,7.29973046451741e-17,0.8893404779579255,0.8893405249834982,True,7.9273553541723505,390
11,reset_state_shuffled,reset_locked,kernel,state_shuffled,420,24,240,23.80952380952381,0.4958449779305157,0.7779739208177368,0.0720148425537564,1.461904759346429,0.02188156531009331,276,0.525,1.0,0.7779739208177368,0.0720148425537564,240,0.7212800794419839,0.09965467326650378,0.1283111212878475,0.8893479008049885,True,7.565029230521187,362
11,emission_kernel,emission_state,kernel,none,420,24,256,25.396825396825395,0.5018984995804587,0.7704612685377189,0.07623177768775648,1.3904761881949403,0.01984376213544776,276,0.5078125,1.0,0.7699712972908863,0.07625825700679899,256,0.8893404887270933,6.975881145448872e-17,0.8893404673055569,0.8893405081659036,True,0.0,0
11,emission_event_constant,emission_state,constant,none,420,24,256,25.396825396825395,0.5018984999836221,0.8896039637539335,2.9086598612990034e-05,1.3904761881949403,0.01984376213544776,276,0.5078125,1.0,0.8893404887270934,1.232595164407831e-32,256,0.8893404887270933,0.0,0.8893404887270933,0.8893404887270933,True,2.335460775598973e-08,0
11,emission_distribution_random,emission_state,random,none,420,24,256,25.396825396825395,0.5018985003160976,0.8896039636010672,2.9086598693612842e-05,1.3904761881949403,0.01984376213544776,276,0.5078125,1.0,0.8893404885878964,6.992687666634663e-17,256,0.8893404889185211,7.019731776744477e-17,0.8893404745295747,0.8893405030001451,True,3.2076476130906204e-08,0
11,emission_time_shifted,emission_state,kernel,time_shifted,420,24,256,25.396825396825395,0.5018985013203424,0.7709512401294094,0.07620481792176804,1.3904761881949403,0.01984376213544776,276,0.5078125,1.0,0.7699712972960018,0.07625825700017513,256,0.8893404988247374,9.738538830889406e-17,0.8893404783471058,0.8893405551027795,True,3.595341358896511e-08,0
