seed,variant,steps,neuron_count,total_spikes,mean_firing_rate_hz,normalized_voltage_energy,mean_gate,gate_variance,population_spike_count_fano,mean_pairwise_spike_correlation,pairwise_correlation_pairs,binned_coincidence_rate,active_fraction,globally_computed_gate_mean,globally_computed_gate_variance,effective_gate_count,effective_gate_mean,effective_gate_variance,effective_gate_entropy_bits,effective_gate_minimum,effective_gate_maximum,spike_event_count,event_feature_mean,event_feature_variance,event_feature_minimum,event_feature_maximum,finite,voltage_rmse_vs_kernel,spike_disagreement_vs_kernel
11,kernel_ei,420,16,138,20.535714285714285,0.5283123328288838,0.789578486779441,0.06573701212005797,1.4540372626554146,0.03252285936074586,120,0.391304347826087,1.0,0.7910728053594397,0.0647920311130198,138,0.803743599073578,0.05167985764653839,0.7020113758085573,0.12831078205387136,0.8893547907490247,138,0.7381390607367458,0.2758829504762149,-0.9958791484575195,0.9999999999603538,True,0.0,0
11,event_constant,420,16,134,19.94047619047619,0.5503801134170007,0.804210876218641,9.148778279492213e-05,1.531698644808251,0.03916579986373688,120,0.48507462686567165,1.0,0.8037435990735778,1.232595164407831e-32,133,0.803743599073578,0.0,0.0,0.803743599073578,0.803743599073578,134,0.7520842174562924,0.2500013768859605,-0.9882731094899063,0.9999999999542211,True,5.654620089348605,194
11,sign,420,16,135,20.089285714285715,0.5503846318246258,0.7989285714285714,0.07085599489795918,1.4933862387401526,0.03613024040594795,120,0.4888888888888889,1.0,0.8005952380952381,0.06964250283446713,135,0.8051851851851852,0.06686200274348424,0.5250873464312362,0.1,0.9,135,0.7333994975283287,0.25954317043093855,-0.9835783263594732,0.9999999999648475,True,5.071867406168494,187
11,tanh,420,16,138,20.535714285714285,0.5258610435129785,0.8259236201701868,0.07201864345811104,1.2801242197064542,0.021273111276739986,120,0.34782608695652173,1.0,0.8280157405885838,0.07084385627646193,138,0.8423257303505219,0.07039138569037239,0.9557033100815345,0.05,0.95,138,0.7485127832058707,0.26969125574949165,-0.9956877319844251,0.9999999999585306,True,2.9923628160015663,124
11,distribution_random,420,16,134,19.94047619047619,0.5441746148725645,0.8074275064193988,0.05023066501621636,1.4570717793705144,0.0331748174290494,120,0.417910447761194,1.0,0.8070688448923402,0.05017306705899738,134,0.8215187975890921,0.03964318482179646,0.6456959867855239,0.12831078218444913,0.8893439904102722,134,0.71786341593173,0.28380317090812374,-0.9950327654829113,0.9999999999601161,True,6.138816116714413,224
11,time_shifted,420,16,139,20.68452380952381,0.5295685767323485,0.7891623755399659,0.06620015452731677,1.4460260319445188,0.03249513723636528,120,0.4460431654676259,1.0,0.7903932212700675,0.06517519169603599,139,0.8893405024535814,5.570579617523099e-17,0.0,0.8893404899922638,0.8893405209016878,139,0.757016708843924,0.24193734612387843,-0.9971828993698454,0.9999999999526613,True,5.916968974546332,211
11,state_shuffled,420,16,135,20.089285714285715,0.5527193758891473,0.7907107958299617,0.06510010447221506,1.671164015964844,0.04711619049250782,120,0.5481481481481482,1.0,0.792091866300171,0.06421591207928948,134,0.7378102945762978,0.08814538144977263,0.8788340852390336,0.1283111212878475,0.8893504167363189,135,0.7566475162401038,0.24707896849428573,-0.9953840566565977,0.9999999999371938,True,6.755419860392372,219
11,disabled,420,16,143,21.279761904761905,0.5189732967499948,1.0,0.0,1.4567266024481087,0.03468140714710598,120,0.5104895104895105,1.0,1.0,0.0,143,1.0,0.0,0.0,1.0,1.0,143,0.7929770800825869,0.20702038091179492,-0.9724725373392613,0.999999999962071,True,7.011194675124903,235
23,kernel_ei,420,16,147,21.875,0.5307316684891416,0.7850010959656928,0.06826575545767277,1.5479591792507286,0.04121392497670483,120,0.4965986394557823,1.0,0.7871092533701772,0.06701419042810369,147,0.7757459517310122,0.06682555123663665,0.8218182025230495,0.12831080539448075,0.8893408242932794,147,0.7553622182030159,0.25368405290657825,-0.8760708281666052,0.9999999999654483,True,0.0,0
23,event_constant,420,16,148,22.023809523809526,0.5292330719768602,0.7762798899411766,0.00011945271514255872,1.4314028273407422,0.03562085794339948,120,0.36486486486486486,1.0,0.7757459517310122,0.0,148,0.7757459517310122,0.0,0.0,0.7757459517310122,0.7757459517310122,148,0.772401365841924,0.20377922359446338,-0.7454579321469829,0.9999999999665006,True,6.653811584195254,229
